profile,contract,environment,tier,level,full_call_exact,tool_selection_exact,e2e_success,arg_f1,decision_correct,false_action,missed_action,destructive_action,gold_tool_offered,ci_low,ci_high,n
baseline,production@0.4,business_ops,3,0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,production@0.4,business_ops,3,1,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,6
baseline,production@0.4,business_ops,3,2,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.5,6
baseline,production@0.4,business_ops,3,3,0.0,0.0,0.3333333333333333,0.08333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,6
baseline,production@0.4,business_ops,3,4,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,production@0.4,business_ops,3,5,0.0,0.0,0.0,0.3444444444444444,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,6
baseline,production@0.4,smart_home,1,0,0.8333333333333334,1.0,0.8333333333333334,0.9166666666666666,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,production@0.4,smart_home,1,1,0.5,0.5,0.5,0.5833333333333334,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.8333333333333334,6
baseline,production@0.4,smart_home,1,2,0.0,0.0,0.3333333333333333,0.19444444444444442,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,6
baseline,production@0.4,smart_home,1,3,0.0,0.0,0.0,0.15,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,6
baseline,production@0.4,smart_home,1,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,6
baseline,production@0.4,smart_home,1,5,0.0,0.0,0.125,0.05,0.5,0.375,0.125,0.0,1.0,0.0,0.0,8
baseline,production@0.4,workspace,2,0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,production@0.4,workspace,2,1,0.3333333333333333,0.5,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0,0.6666666666666666,6
baseline,production@0.4,workspace,2,2,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,6
baseline,production@0.4,workspace,2,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
baseline,production@0.4,workspace,2,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.5,1.0,6
baseline,production@0.4,workspace,2,5,0.0,0.0,0.16666666666666666,0.4687830687830688,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,6
baseline,raw,business_ops,3,0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,raw,business_ops,3,1,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,6
baseline,raw,business_ops,3,2,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.5,0.5,0.0,0.5,1.0,0.0,0.5,6
baseline,raw,business_ops,3,3,0.0,0.0,0.3333333333333333,0.08333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,6
baseline,raw,business_ops,3,4,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,raw,business_ops,3,5,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,6
baseline,raw,smart_home,1,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,raw,smart_home,1,1,0.5,0.5,0.5,0.5833333333333334,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.8333333333333334,6
baseline,raw,smart_home,1,2,0.16666666666666666,0.16666666666666666,0.5,0.3611111111111111,0.5,0.3333333333333333,0.16666666666666666,0.0,1.0,0.0,0.5,6
baseline,raw,smart_home,1,3,0.0,0.0,0.0,0.15,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,6
baseline,raw,smart_home,1,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,6
baseline,raw,smart_home,1,5,0.0,0.0,0.125,0.05,0.5,0.375,0.125,0.0,1.0,0.0,0.0,8
baseline,raw,workspace,2,0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,1.0,0.5,1.0,6
baseline,raw,workspace,2,1,0.5,0.6666666666666666,0.8333333333333334,0.5,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,1.0,0.16666666666666666,0.8333333333333334,6
baseline,raw,workspace,2,2,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,0.0,0.5,6
baseline,raw,workspace,2,3,0.0,0.6666666666666666,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
baseline,raw,workspace,2,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6
baseline,raw,workspace,2,5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6354497354497355,1.0,0.0,0.0,0.0,1.0,0.0,0.5,6
