profile,contract,bucket,n,decision_correct,full_call_exact
baseline,production@0.4,0.2,1,0.0,0.0
baseline,production@0.4,0.3,1,0.0,0.0
baseline,production@0.4,0.4,3,0.6666666666666666,0.0
baseline,production@0.4,0.5,6,0.3333333333333333,0.16666666666666666
baseline,production@0.4,0.6,5,0.6,0.4
baseline,production@0.4,0.7,2,0.5,0.0
baseline,production@0.4,0.8,6,0.8333333333333334,0.16666666666666666
baseline,production@0.4,0.9,86,0.8604651162790697,0.37209302325581395
baseline,raw,0.2,1,0.0,0.0
baseline,raw,0.3,1,1.0,1.0
baseline,raw,0.4,3,0.6666666666666666,0.0
baseline,raw,0.5,6,0.3333333333333333,0.16666666666666666
baseline,raw,0.6,5,0.6,0.4
baseline,raw,0.7,2,0.5,0.0
baseline,raw,0.8,6,1.0,0.3333333333333333
baseline,raw,0.9,86,0.872093023255814,0.3953488372093023
